dataset,n,resTubo,metodo,tiempo
peor-caso-BT,1,9,FB,0.000726
peor-caso-BT,2,18,FB,0.000731
peor-caso-BT,3,29,FB,0.000764
peor-caso-BT,4,37,FB,0.000823
peor-caso-BT,5,45,FB,0.000889
peor-caso-BT,6,58,FB,0.001035
peor-caso-BT,7,67,FB,0.001218
peor-caso-BT,8,74,FB,0.001532
peor-caso-BT,9,86,FB,0.001954
peor-caso-BT,10,95,FB,0.002907
peor-caso-BT,11,103,FB,0.004717
peor-caso-BT,12,108,FB,0.007967
peor-caso-BT,13,127,FB,0.015131
peor-caso-BT,14,126,FB,0.028277
peor-caso-BT,15,139,FB,0.055305
peor-caso-BT,16,152,FB,0.109882
peor-caso-BT,17,163,FB,0.21222
peor-caso-BT,18,178,FB,0.42846
peor-caso-BT,19,189,FB,0.843025
peor-caso-BT,20,195,FB,1.68604
peor-caso-BT,21,197,FB,3.38033
peor-caso-BT,22,209,FB,6.79211
peor-caso-BT,23,222,FB,13.4785
peor-caso-BT,24,233,FB,26.7335
peor-caso-BT,25,228,FB,53.6895
entran-muchos-BT,1,9,FB,0.000721
entran-muchos-BT,2,18,FB,0.000765
entran-muchos-BT,3,28,FB,0.000777
entran-muchos-BT,4,37,FB,0.000835
entran-muchos-BT,5,45,FB,0.0009
entran-muchos-BT,6,57,FB,0.00102
entran-muchos-BT,7,69,FB,0.001119
entran-muchos-BT,8,75,FB,0.001373
entran-muchos-BT,9,82,FB,0.001829
entran-muchos-BT,10,92,FB,0.002696
entran-muchos-BT,11,104,FB,0.004435
entran-muchos-BT,12,115,FB,0.007901
entran-muchos-BT,13,118,FB,0.014817
entran-muchos-BT,14,139,FB,0.028863
entran-muchos-BT,15,148,FB,0.056257
entran-muchos-BT,16,144,FB,0.111418
entran-muchos-BT,17,167,FB,0.221406
entran-muchos-BT,18,172,FB,0.440089
entran-muchos-BT,19,185,FB,0.883828
entran-muchos-BT,20,193,FB,1.76029
entran-muchos-BT,21,200,FB,3.54723
entran-muchos-BT,22,213,FB,7.06186
entran-muchos-BT,23,213,FB,14.1051
entran-muchos-BT,24,229,FB,28.2253
entran-muchos-BT,25,234,FB,56.4415
entran-pocos-BT,1,9,FB,0.000748
entran-pocos-BT,2,18,FB,0.00077
entran-pocos-BT,3,28,FB,0.000817
entran-pocos-BT,4,36,FB,0.000856
entran-pocos-BT,5,45,FB,0.000903
entran-pocos-BT,6,58,FB,0.001013
entran-pocos-BT,7,64,FB,0.001131
